Partner_id,Partner_name,Franchise_name,Mall,City_name_partner,Area_name_partner,Pqp_advisor
351552,Juan Maestro Mall Plaza Sur 907,Juan Maestro,Mall Plaza Sur,Santiago,San Bernardo,nicole bustamante
129101,Dunkin' Mall Plaza Sur,Dunkin Donuts,Mall Plaza Sur,Santiago,San Bernardo,javier peñaloza
133851,Dunkin' Mall Plaza Sur - Café,Dunkin Donuts,Mall Plaza Sur,Santiago,San Bernardo,javier peñaloza
150623,"Pedro, Juan Y Diego Plaza Sur","Pedro, Juan y Diego",Mall Plaza Sur,Santiago,San Bernardo,josefina sarquis
58022,Carl's Jr. Plaza Sur,Carl's Jr.,Mall Plaza Sur,Santiago,San Bernardo,javier peñaloza
123543,Buffet Express Plaza Sur,Buffet Express,Mall Plaza Sur,Santiago,San Bernardo,null
127328,Churromania Mall Plaza Sur,Churromania,Mall Plaza Sur,Santiago,San Bernardo,franco lagos tier
128603,China Wok Mall Plaza Sur,China Wok,Mall Plaza Sur,Santiago,San Bernardo,josefina sarquis
130588,Burger King® - Mall Plaza Sur,Burger King,Mall Plaza Sur,Santiago,San Bernardo,javier peñaloza
131802,KFC Mall Plaza Sur,KFC,Mall Plaza Sur,Santiago,San Bernardo,josefina sarquis
141981,Wendy's Mall Plaza Sur,Wendy's,Mall Plaza Sur,Santiago,San Bernardo,josefina sarquis
165937,Subway Mall Plaza Sur,Subway,Mall Plaza Sur,Santiago,San Bernardo,nicole bustamante
202658,Doggis Mall Plaza Sur,Doggis,Mall Plaza Sur,Santiago,San Bernardo,nicole bustamante
320881,Xurros Café - Plaza Sur,,Mall Plaza Sur,Santiago,San Bernardo,franco lagos lt
333030,Tabaquerías Wolff - Plaza Sur,Tabaquerias Wolff,Mall Plaza Sur,Santiago,San Bernardo,maria cecilia maturana
376766,Beef Burger Mall Plaza Sur,Beef Burger,Mall Plaza Sur,Santiago,San Bernardo,franco lagos tier
396323,Tommy Beans Mall Plaza Sur,Tommy Beans,Mall Plaza Sur,Santiago,San Bernardo,nicole bustamante
455836,Bufalo Beef Mall Plaza Sur,Bufalo Beef,Mall Plaza Sur,Santiago,San Bernardo,franco lagos tier
47276,Mamut Plaza Sur,Mamut,Mall Plaza Sur,Santiago,San Bernardo,nicole bustamante
456471,La Ibérica - Mallplaza Oeste,La Iberica,Mall Plaza Oeste,Santiago,Cerrillos,maria cecilia maturana
129325,Bariloche - Mall Plaza Sur,Bariloche,Mall Plaza Sur,Santiago,San Bernardo,franco lagos tier
184211,Yogen Fruz - Mall Plaza Sur,Yogen Fruz,Mall Plaza Sur,Santiago,San Bernardo,null
184835,Starbucks Coffee Mall Plaza Sur,Starbucks,Mall Plaza Sur,Santiago,San Bernardo,javier peñaloza
66392,Mcdonald's Plaza Oeste,McDonald's,Mall Plaza Oeste,Santiago,Cerrillos,josefina sarquis
431212,Niu Sushi - Plaza Oeste,NIU,Mall Plaza Oeste,Santiago,Cerrillos,javier peñaloza
470190,Tanta - Plaza Oeste,Tanta,Mall Plaza Oeste,Santiago,Cerrillos,null
118767,Bariloche - Mall Plaza Oeste,Bariloche,Mall Plaza Oeste,Santiago,Cerrillos,franco lagos tier
145579,Johnny Rockets - Cerrillos,Johnny Rockets,Mall Plaza Oeste,Santiago,Cerrillos,nicole bustamante
417258,California Sushi - Courier,,Mall Plaza América Rancagua,Rancagua,Rancagua,null
477641,Pizza Hut Plaza America - Courier,Pizza Hut,Mall Plaza América Rancagua,Rancagua,Rancagua,null
37974,California Sushi Rancagua,,Mall Plaza América Rancagua,Rancagua,Rancagua,franco lagos tier
54797,Subway Mall Plaza America,Subway,Mall Plaza América Rancagua,Rancagua,Rancagua,nicole bustamante
62973,Tarragona - Rancagua Las Américas,Tarragona,Mall Plaza América Rancagua,Rancagua,Rancagua,nicole bustamante
112364,Pizza Hut - Plaza América,Pizza Hut,Mall Plaza América Rancagua,Rancagua,Rancagua,javier peñaloza
128350,Juan Maestro Mall Plaza América Rancagua,Juan Maestro,Mall Plaza América Rancagua,Rancagua,Rancagua,nicole bustamante
130126,Doggis Mall Plaza América Rancagua,Doggis,Mall Plaza América Rancagua,Rancagua,Rancagua,nicole bustamante
143379,Food,,Mall Plaza América Rancagua,Rancagua,Rancagua,franco lagos tier
434712,Starfries.,,Mall Plaza América Rancagua,Rancagua,Rancagua,franco lagos lt
434733,Fuente Machali.,,Mall Plaza América Rancagua,Rancagua,Rancagua,franco lagos lt
476538,Tarragona Rancagua Las Américas  - Courier,Tarragona,Mall Plaza América Rancagua,Rancagua,Rancagua,null
129474,Il Forno - Mall Plaza Oeste,Il Forno,Mall Plaza Oeste,Santiago,Cerrillos,franco lagos tier
343985,Dunkin Plaza Oeste Módulo,Dunkin Donuts,Mall Plaza Oeste,Santiago,Cerrillos,javier peñaloza
470134,Barra Chalaca - Plaza Oeste,,Mall Plaza Oeste,Santiago,Cerrillos,null
47277,Mamut Plaza Oeste,Mamut,Mall Plaza Oeste,Santiago,Cerrillos,nicole bustamante
47284,Tommy Beans Plaza Oeste,Tommy Beans,Mall Plaza Oeste,Santiago,Cerrillos,nicole bustamante
47552,Juan Maestro Mall Plaza Oeste,Juan Maestro,Mall Plaza Oeste,Santiago,Cerrillos,nicole bustamante
63549,Burger King® - Plaza Oeste,Burger King,Mall Plaza Oeste,Santiago,Cerrillos,javier peñaloza
63737,Buffet Express Plaza Oeste,Buffet Express,Mall Plaza Oeste,Santiago,Cerrillos,null
67104,Taco Bell Plaza Oeste,Taco Bell,Mall Plaza Oeste,Santiago,Cerrillos,javier peñaloza
67834,Pizza Hut - Mall Plaza Oeste,Pizza Hut Fastcom,Mall Plaza Oeste,Santiago,Cerrillos,javier peñaloza
88657,Dominó - Plaza Oeste 2,Dominó,Mall Plaza Oeste,Santiago,Cerrillos,nicole bustamante
101365,Tarragona Mall Plaza Oeste,Tarragona,Mall Plaza Oeste,Santiago,Cerrillos,nicole bustamante
106545,Doggis Mall Plaza Oeste,Doggis,Mall Plaza Oeste,Santiago,Cerrillos,nicole bustamante
111399,China Wok Mall Plaza Oeste,China Wok,Mall Plaza Oeste,Santiago,Cerrillos,josefina sarquis
116128,Dunkin' Mall Plaza Oeste - Café,Dunkin Donuts,Mall Plaza Oeste,Santiago,Cerrillos,javier peñaloza
117537,Sushi Blues - Mall Plaza Oeste,Sushi Blues,Mall Plaza Oeste,Santiago,Cerrillos,
138301,KFC Mall Plaza Oeste,KFC,Mall Plaza Oeste,Santiago,Cerrillos,josefina sarquis
142355,Pollo Stop Plaza Oeste,Pollo Stop Fast Food,Mall Plaza Oeste,Santiago,Cerrillos,josefina sarquis
165425,Bufalo Beef Cerrillos,Bufalo Beef,Mall Plaza Oeste,Santiago,Cerrillos,franco lagos tier
165940,Subway Mall Plaza Oeste,Subway,Mall Plaza Oeste,Santiago,Cerrillos,nicole bustamante
192211,Lovdo Mall Plaza Oeste,Lovdo,Mall Plaza Oeste,Santiago,Cerrillos,nicole bustamante
307201,Doggis Heladería Mall Plaza Oeste,Doggis Heladeria,Mall Plaza Oeste,Santiago,Cerrillos,nicole bustamante
316707,Wendys Plaza Oeste,Wendy's,Mall Plaza Oeste,Santiago,Cerrillos,josefina sarquis
381400,Beef Burger Cerrillos,Beef Burger,Mall Plaza Oeste,Santiago,Cerrillos,franco lagos tier
420917,Starbucks Mall Plaza Oeste 2,Starbucks,Mall Plaza Oeste,Santiago,Cerrillos,javier peñaloza
435228,Cinna & Bites Mall Plaza Oeste,Cinna&Bites,Mall Plaza Oeste,Santiago,Cerrillos,null
470188,Milá - Plaza Oeste,Milá,Mall Plaza Oeste,Santiago,Cerrillos,null
470195,Dulce Luna - Plaza Oeste,Dulce Luna,Mall Plaza Oeste,Santiago,Cerrillos,null
470196,Muu Steak - Plaza Oeste,Muu Steak,Mall Plaza Oeste,Santiago,Cerrillos,null
479669,"Pedro, Juan Y Diego Plaza Oeste 562","Pedro, Juan y Diego",Mall Plaza Oeste,Santiago,Cerrillos,josefina sarquis
483227,Under Pizza - Mall Plaza Oeste,Under Pizzas,Mall Plaza Oeste,Santiago,Cerrillos,null
485615,Big Boba Bubble Tea Shop - Mall Plaza Oeste,,Mall Plaza Oeste,Santiago,Cerrillos,null
67832,Dunkin' Mall Plaza Oeste,Dunkin Donuts,Mall Plaza Oeste,Santiago,Cerrillos,javier peñaloza
87797,Völka Chokolade - Mall Plaza Oeste,Völka Chokolade,Mall Plaza Oeste,Santiago,Cerrillos,maria cecilia maturana
195476,Yogen Fruz - Plaza Oeste,Yogen Fruz,Mall Plaza Oeste,Santiago,Cerrillos,null
